303	0.01
335	0.76
446	0.09
453	0.85
465	6.57
534	0.09
545	0.12
622	0
670	0.01
695	19.03
780	19.71
800	4.76
861	1.08
880	0
885	8.02
895	0
895	6.57
897	0.06
927	0
928	0.46
941	0.29
966	0.43
1032	3.1
1066	9.79
1068	11.31
1085	1.37
1086	0
1101	0.43
1133	0.21
1149	3.69
1167	3.72
1207	0.01
1240	10.8
1289	0
1289	2.71
1295	0.75
1310	3.16
1331	2.99
1351	0
1352	11.4
1369	7.75
1371	0
1422	13.13
1432	0
1433	0.28
1438	0
1440	4.69
1449	9.51
1450	13.15
1450	0.31
1455	0
1471	18.99
1581	7.3
1602	16.57
2888	0
2888	52.51
2889	28.73
2890	3.07
2890	2.91
2891	54.76
2958	0
2958	2.21
2963	159.87
2963	1.56
2969	0
2969	38.93
2971	8.94
2971	57.7
3018	17.77
3020	0
3026	26.28
3047	28.12

